Date,tickerYF,Close
2020-02-18,MRNA,18.91
2020-02-19,MRNA,18.92
2020-02-20,MRNA,18.54
2020-02-21,MRNA,18.23
2020-02-24,MRNA,18.59
2020-02-25,MRNA,23.76
2020-02-26,MRNA,29.16
2020-02-27,MRNA,26.16
2020-02-28,MRNA,25.93
2020-03-02,MRNA,29.88
2020-03-03,MRNA,27.91
2020-03-04,MRNA,27.49
2020-03-05,MRNA,28.01
2020-03-06,MRNA,29.61
2020-03-09,MRNA,24.29
2020-03-10,MRNA,22.34
2020-03-11,MRNA,23.61
2020-03-12,MRNA,22.3
2020-03-13,MRNA,21.3
2020-03-16,MRNA,26.49
2020-03-17,MRNA,28.18
2020-03-18,MRNA,31.58
2020-03-19,MRNA,28.27
2020-03-20,MRNA,28.2
2020-03-23,MRNA,26.57
2020-03-24,MRNA,25.82
2020-03-25,MRNA,27.13
2020-03-26,MRNA,27.94
2020-03-27,MRNA,30.05
2020-03-30,MRNA,30.48
2020-03-31,MRNA,29.95
2020-04-01,MRNA,29.67
2020-04-02,MRNA,33.2
2020-04-03,MRNA,34.84
2020-04-06,MRNA,34.64
2020-04-07,MRNA,32.02
2020-04-08,MRNA,32.42
2020-04-09,MRNA,31.86
2020-04-13,MRNA,32.9
2020-04-14,MRNA,34.66
2020-04-15,MRNA,37.25
2020-04-16,MRNA,40.6
2020-04-17,MRNA,46.85
2020-04-20,MRNA,51.69
2020-04-21,MRNA,49.26
2020-04-22,MRNA,51.2
2020-04-23,MRNA,47.44
